region,year,month,month_name,date,arrivals
South Korea,2008,8,Aug,2008-08-01,42338
Southeast Asia,2008,8,Aug,2008-08-01,279089
Spain,2008,8,Aug,2008-08-01,4595
Sri Lanka,2008,8,Aug,2008-08-01,8029
Sweden,2008,8,Aug,2008-08-01,1598
Switzerland,2008,8,Aug,2008-08-01,5361
Taiwan,2008,8,Aug,2008-08-01,16923
Thailand,2008,8,Aug,2008-08-01,25901
Total International Visitor Arrivals By Place Of Residence,2008,8,Aug,2008-08-01,850016
USA,2008,8,Aug,2008-08-01,32440
United Arab Emirates,2008,8,Aug,2008-08-01,7253
United Kingdom,2008,8,Aug,2008-08-01,39102
Vietnam,2008,8,Aug,2008-08-01,24828
West Asia,2008,8,Aug,2008-08-01,15263
Africa,2008,9,Sep,2008-09-01,6013
Americas,2008,9,Sep,2008-09-01,31823
Australia,2008,9,Sep,2008-09-01,72816
Bangladesh,2008,9,Sep,2008-09-01,7914
Belgium & Luxembourg,2008,9,Sep,2008-09-01,1440
Brunei Darussalam,2008,9,Sep,2008-09-01,3569
Canada,2008,9,Sep,2008-09-01,4273
China,2008,9,Sep,2008-09-01,66582
Denmark,2008,9,Sep,2008-09-01,1966
Egypt,2008,9,Sep,2008-09-01,241
Europe,2008,9,Sep,2008-09-01,94826
Finland,2008,9,Sep,2008-09-01,1181
France,2008,9,Sep,2008-09-01,7682
Germany,2008,9,Sep,2008-09-01,14033
Greater China,2008,9,Sep,2008-09-01,100597
Hong Kong SAR,2008,9,Sep,2008-09-01,20765
India,2008,9,Sep,2008-09-01,53488
Indonesia,2008,9,Sep,2008-09-01,144158
Iran,2008,9,Sep,2008-09-01,1336
Israel,2008,9,Sep,2008-09-01,912
Italy,2008,9,Sep,2008-09-01,3397
Japan,2008,9,Sep,2008-09-01,48771
Kuwait,2008,9,Sep,2008-09-01,137
Malaysia,2008,9,Sep,2008-09-01,44892
Mauritius,2008,9,Sep,2008-09-01,510
Myanmar,2008,9,Sep,2008-09-01,5815
Netherlands,2008,9,Sep,2008-09-01,5476
New Zealand,2008,9,Sep,2008-09-01,10776
North Asia,2008,9,Sep,2008-09-01,74721
Norway,2008,9,Sep,2008-09-01,2060
Oceania,2008,9,Sep,2008-09-01,84600
Other Markets In Africa,2008,9,Sep,2008-09-01,2481
Other Markets In Americas,2008,9,Sep,2008-09-01,2390
Other Markets In Europe,2008,9,Sep,2008-09-01,8183
Other Markets In Greater China,2008,9,Sep,2008-09-01,947
Other Markets In North Asia,2008,9,Sep,2008-09-01,36
Other Markets In Oceania,2008,9,Sep,2008-09-01,1008
Other Markets In South Asia,2008,9,Sep,2008-09-01,2022
Other Markets In Southeast Asia,2008,9,Sep,2008-09-01,2851
Other Markets In West Asia,2008,9,Sep,2008-09-01,797
Others,2008,9,Sep,2008-09-01,590
Pakistan,2008,9,Sep,2008-09-01,1115
Philippines,2008,9,Sep,2008-09-01,34314
Rep Of Ireland,2008,9,Sep,2008-09-01,2070
Russian Federation,2008,9,Sep,2008-09-01,3815
Saudi Arabia,2008,9,Sep,2008-09-01,474
South Africa (Rep Of),2008,9,Sep,2008-09-01,2781
South Asia,2008,9,Sep,2008-09-01,69508
South Korea,2008,9,Sep,2008-09-01,25914
Southeast Asia,2008,9,Sep,2008-09-01,276194
Spain,2008,9,Sep,2008-09-01,2550
Sri Lanka,2008,9,Sep,2008-09-01,4969
Sweden,2008,9,Sep,2008-09-01,1848
Switzerland,2008,9,Sep,2008-09-01,4873
