year_x,month_x,month_name_x,date,arrivals,year_y,month_y,month_name_y,Available Room Nights,Average Hotel Occupancy Rate,Average Occupancy Rate - Large,Average Occupancy Rate - Medium,Average Occupancy Rate - Small,Average Room Rate,Average Room Rate - Large,Average Room Rate - Medium,Average Room Rate - Small,Gross Lettings,Room Revenue
2008.0,7.0,Jul,2008-07-01,922569.0,,7.0,Jul,901954.0,84.4,85.2,81.6,81.0,236.6,252.8,202.6,110.8,761225.0,180123.9
2010.0,4.0,Apr,2010-04-01,939013.0,2010.0,4.0,Apr,1016131.0,84.7,86.3,83.9,74.3,199.6,219.9,167.9,102.5,860399.0,171834.9
2019.0,10.0,Oct,2019-10-01,1530479.0,2019.0,10.0,Oct,1911073.0,86.9,89.3,84.6,74.3,223.6,238.4,206.4,135.1,1661171.0,372207.6
2016.0,12.0,Dec,2016-12-01,1506134.0,2016.0,12.0,Dec,1688321.0,79.6,,77.3,71.2,217.2,240.8,176.7,131.0,1344107.0,298052.6
2017.0,1.0,Jan,2017-01-01,1480479.0,2017.0,1.0,Jan,1680781.0,81.8,84.5,78.6,69.8,218.2,236.5,191.6,127.5,1374330.0,299878.5
2021.0,1.0,Jan,2021-01-01,,,1.0,Jan,1025455.0,44.3,43.9,43.5,47.0,150.8,,183.8,82.3,454413.0,68551.6
2008.0,5.0,May,2008-05-01,833604.0,2008.0,5.0,May,900704.0,81.1,,78.5,79.3,244.2,265.4,197.2,105.0,730766.0,180126.8
2018.0,3.0,Mar,2018-03-01,1584406.0,2018.0,3.0,Mar,1764808.0,87.2,89.8,85.1,73.2,220.1,237.3,193.8,131.5,1538947.0,338739.1
2010.0,9.0,Sep,2010-09-01,947585.0,2010.0,9.0,Sep,1167836.0,80.4,81.8,79.6,70.7,231.5,247.5,195.2,161.0,938865.0,217845.4
2021.0,8.0,Aug,2021-08-01,15887.0,2021.0,8.0,Aug,826277.0,56.1,56.0,52.3,61.2,151.7,,,81.8,463347.0,70278.6
